instance,cutoff,tabu,block_flag,mode,block_size,seed,mode_name,best_obj_min,best_obj_max,objective_value,is_minimize,feasible_found,completed,crashed,timeout_or_no_solution,consistency_error,candidates_total,selected_total,executed_total,repair_success_total,best_update_total,obj_improve_executed_total,violation_improve_executed_total,rejected_by_check_total,wall_time_seconds
ball_mk3_10.lp,10,0,1,5,2,11,old_block,-4.0,,-4.0,1,1,1,0,0,0,1948435,432466,432466,0,0,193,0,0,10.006043112
chimera_mgw-c8-439-onc8-002.lp,10,1,1,3,4,12,smart_only,,392.0,392.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.285312926
chimera_lga-01.lp,10,0,1,3,2,11,smart_only,,120.1,120.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.83665939
chimera_selby-c16-02.lp,10,1,1,3,2,10,smart_only,,708.6,708.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.507341286
chimera_mgw-c16-2031-01.lp,10,1,1,2,2,9,improve_only,,1945.0,1945.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.719133614
graphpart_2g-0055-0062.lp,10,0,1,3,3,8,smart_only,-1389952.0,,-1389952.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.007370436
ball_mk2_10.lp,10,0,0,0,2,9,baseline,0.0,,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
chimera_selby-c8-onc8-02.lp,10,1,1,1,3,8,repair_only,,167.2,167.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.111651736
ball_mk3_20.lp,10,0,0,baseline,0,11,baseline,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,10.005689887
chimera_mgw-c8-439-onc8-002.lp,10,1,1,0,2,12,full_block,,392.0,392.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.168856793
chimera_k64ising-01.lp,10,0,1,0,2,12,full_block,,12.8,12.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.232114778
chimera_k64maxcut-02.lp,10,0,1,0,3,11,full_block,,16.7,16.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.02027792
ball_mk2_30.lp,10,1,1,3,2,8,smart_only,0.0,,0.0,1,1,1,0,0,0,1184000,148000,148000,148000,0,0,148000,0,10.015654891
chimera_k64maxcut-01.lp,10,0,1,5,3,12,old_block,,11.8,11.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0543896
chimera_k64maxcut-02.lp,10,1,1,3,2,10,smart_only,,14.2,14.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.162008868
chimera_mgw-c8-439-onc8-001.lp,10,0,1,5,2,8,old_block,,405.0,405.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.257993519
chimera_selby-c16-01.lp,10,0,1,0,2,9,full_block,,707.3,707.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.19604722
